RAF 6 AIRFOIL
 0.57457    -0.00453
 0.58336    -0.00450
 0.59216    -0.00446
 0.60095    -0.00443
 0.60974    -0.00440
 0.61853    -0.00437
 0.62731    -0.00434
 0.63608    -0.00431
 0.64485    -0.00427
 0.65362    -0.00424
 0.66238    -0.00421
 0.67113    -0.00418
 0.67990    -0.00415
 0.68867    -0.00412
 0.69745    -0.00409
 0.70624    -0.00405
 0.71500    -0.00402
 0.72375    -0.00399
 0.73246    -0.00396
 0.74115    -0.00393
 0.74982    -0.00390
 0.75848    -0.00387
 0.76713    -0.00383
 0.77579    -0.00380
 0.78447    -0.00377
 0.79319    -0.00374
 0.80195    -0.00371
 0.81069    -0.00368
 0.81933    -0.00365
 0.82788    -0.00362
 0.83635    -0.00359
 0.84473    -0.00356
 0.85306    -0.00353
 0.86136    -0.00350
 0.86965    -0.00347
 0.87800    -0.00344
 0.88643    -0.00341
 0.89502    -0.00337
 0.90372    -0.00334
 0.91217    -0.00331
 0.92027    -0.00328
 0.92800    -0.00326
 0.93537    -0.00323
 0.94238    -0.00320
 0.94906    -0.00318
 0.95541    -0.00316
 0.96146    -0.00313
 0.96723    -0.00311
 0.97275    -0.00309
 0.97802    -0.00308
 0.98308    -0.00306
 0.98794    -0.00304
 0.99260    -0.00302
 0.99709    -0.00301
 1.00000    -0.00300
